epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
91,21452.9,0.95567,2.06712,0.96863,1.19322,0,0.87719,0.83162,0.87945,0.72248,0.8706,0.82474,0.86129,0.66096,0.93242,1.75806,0.7244,1.15818,0,0.000410942,0.000410942,0.000410942
92,21665,0.94722,2.04538,0.95604,1.18686,0,0.88507,0.83049,0.88245,0.72303,0.87966,0.82191,0.86395,0.66259,0.93057,1.7588,0.71963,1.15753,0,0.00040201,0.00040201,0.00040201
93,21876.7,0.94508,2.03211,0.95349,1.18425,0,0.87458,0.83345,0.88139,0.72573,0.87717,0.82475,0.86632,0.66394,0.92733,1.75766,0.71517,1.15315,0,0.000393143,0.000393143,0.000393143
94,22104.9,0.94843,2.0531,0.96264,1.18879,0,0.88208,0.83268,0.88291,0.72728,0.87769,0.82317,0.86359,0.66383,0.92117,1.7527,0.71246,1.14714,0,0.000384344,0.000384344,0.000384344
95,22317.4,0.94782,2.05332,0.95718,1.18747,0,0.8874,0.836,0.88348,0.72725,0.88888,0.82415,0.86654,0.66539,0.91916,1.75044,0.70676,1.14397,0,0.000375618,0.000375618,0.000375618
96,22677.6,0.95802,2.06217,0.96899,1.19527,0,0.88775,0.83602,0.88372,0.72712,0.885,0.82424,0.86721,0.66675,0.91774,1.74891,0.70816,1.14309,0,0.000366969,0.000366969,0.000366969
97,22889.5,0.93012,2.01137,0.93457,1.17697,0,0.88817,0.83305,0.88448,0.7291,0.88449,0.82545,0.86652,0.66642,0.91559,1.74542,0.70622,1.14212,0,0.000358399,0.000358399,0.000358399
98,23102.3,0.9488,2.05952,0.95105,1.1879,0,0.89467,0.83377,0.88551,0.73133,0.88424,0.82783,0.86639,0.66869,0.9139,1.74161,0.70127,1.14097,0,0.000349914,0.000349914,0.000349914
99,23315.3,0.93169,2.01099,0.92571,1.1779,0,0.8902,0.83317,0.88623,0.73165,0.88361,0.8244,0.86838,0.66826,0.91292,1.7383,0.69924,1.1381,0,0.000341517,0.000341517,0.000341517
100,23581.8,0.91771,1.99875,0.91674,1.17038,0,0.8856,0.83908,0.88669,0.73345,0.88217,0.82668,0.86835,0.66896,0.91005,1.7371,0.69622,1.13531,0,0.000333211,0.000333211,0.000333211
101,23795.7,0.92293,1.99482,0.92069,1.16862,0,0.8881,0.83556,0.88657,0.73389,0.87941,0.82827,0.86833,0.66998,0.90869,1.73353,0.69568,1.134,0,0.000325,0.000325,0.000325
102,24009.6,0.92096,2.00343,0.91828,1.16772,0,0.88904,0.83933,0.88919,0.73605,0.88219,0.82926,0.87091,0.67035,0.90879,1.73009,0.69253,1.13293,0,0.000316888,0.000316888,0.000316888
103,24298.7,0.92205,1.9908,0.90773,1.16907,0,0.89225,0.83657,0.88851,0.73409,0.88498,0.82882,0.871,0.6706,0.91063,1.72705,0.68966,1.13419,0,0.000308878,0.000308878,0.000308878
104,24513.1,0.9148,1.98331,0.90303,1.16641,0,0.90132,0.83472,0.88997,0.73673,0.89427,0.82553,0.87044,0.67172,0.90955,1.72326,0.68499,1.13257,0,0.000300974,0.000300974,0.000300974
105,24732.2,0.92601,1.99743,0.91087,1.16963,0,0.90008,0.83693,0.89256,0.73784,0.89117,0.82803,0.87327,0.67332,0.9062,1.71813,0.67872,1.13031,0,0.000293179,0.000293179,0.000293179
106,24946.4,0.91477,1.98491,0.90699,1.16417,0,0.89797,0.83798,0.89267,0.73803,0.8964,0.82657,0.87325,0.67432,0.90383,1.71398,0.67716,1.12767,0,0.000285497,0.000285497,0.000285497
107,25171,0.91375,1.98658,0.90058,1.1658,0,0.89887,0.835,0.894,0.73905,0.89099,0.82698,0.87485,0.67556,0.90276,1.70955,0.67475,1.12708,0,0.00027793,0.00027793,0.00027793
