epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,10942.4,1.18695,2.94906,1.3947,0.53153,0.44473,0.43259,0.21377,1.98036,5.58632,2.18095,0.000133695,0.000133695,0.000133695
79,11081.8,1.16629,2.86881,1.37679,0.5427,0.43952,0.4379,0.21619,1.9904,5.62994,2.19685,0.000123596,0.000123596,0.000123596
80,11221.3,1.17598,2.88529,1.38653,0.55195,0.42653,0.42489,0.21265,1.99341,5.65586,2.21224,0.000113873,0.000113873,0.000113873
81,11360.7,1.16785,2.91407,1.3813,0.52865,0.44349,0.4303,0.21419,1.98224,5.62017,2.19567,0.000104537,0.000104537,0.000104537
82,11500.8,1.16571,2.86717,1.37411,0.56785,0.41623,0.42897,0.21023,1.98644,5.61976,2.19747,9.55951e-05,9.55951e-05,9.55951e-05
83,11640.5,1.1677,2.90412,1.38097,0.57404,0.40982,0.42571,0.21146,1.9868,5.64319,2.20203,8.70577e-05,8.70577e-05,8.70577e-05
84,11779.9,1.16549,2.88201,1.38115,0.49294,0.46717,0.42772,0.21149,1.98709,5.63076,2.21015,7.89327e-05,7.89327e-05,7.89327e-05
85,11919.3,1.16498,2.85742,1.38296,0.52238,0.4557,0.43001,0.21116,1.99035,5.63138,2.20874,7.12282e-05,7.12282e-05,7.12282e-05
86,12058.7,1.15688,2.84753,1.37336,0.52271,0.44697,0.43507,0.21606,1.98657,5.58374,2.20823,6.39518e-05,6.39518e-05,6.39518e-05
87,12197.7,1.15632,2.83663,1.37476,0.52836,0.43245,0.43673,0.21671,1.98678,5.63516,2.20701,5.71106e-05,5.71106e-05,5.71106e-05
88,12337.1,1.15286,2.85844,1.37156,0.53313,0.43759,0.43333,0.21222,1.99714,5.63286,2.21593,5.07115e-05,5.07115e-05,5.07115e-05
89,12476.6,1.15817,2.84292,1.3707,0.50499,0.45095,0.42797,0.2134,1.99657,5.61941,2.21595,4.47606e-05,4.47606e-05,4.47606e-05
90,12616.1,1.15073,2.84072,1.36993,0.51719,0.45372,0.42894,0.2139,1.99209,5.60475,2.21566,3.9264e-05,3.9264e-05,3.9264e-05
91,12755.8,0.97896,1.5874,1.24386,0.54953,0.41387,0.40819,0.20372,2.01742,5.77469,2.25948,3.4227e-05,3.4227e-05,3.4227e-05
92,12895,0.97161,1.55174,1.24743,0.53144,0.43045,0.41696,0.20728,2.00742,5.74356,2.24582,2.96546e-05,2.96546e-05,2.96546e-05
93,13034.3,0.96107,1.54737,1.23655,0.53679,0.42652,0.42402,0.21078,1.99841,5.72797,2.22788,2.55513e-05,2.55513e-05,2.55513e-05
94,13173.5,0.95932,1.52618,1.23754,0.55768,0.41988,0.42743,0.21136,1.99954,5.72711,2.23126,2.19212e-05,2.19212e-05,2.19212e-05
95,13312.9,0.95577,1.51613,1.23972,0.55592,0.4269,0.42368,0.21014,1.99558,5.78787,2.22605,1.87678e-05,1.87678e-05,1.87678e-05
96,13452.1,0.94816,1.50988,1.22489,0.55714,0.43122,0.42725,0.21189,1.99229,5.71554,2.22578,1.60943e-05,1.60943e-05,1.60943e-05
97,13591.3,0.94794,1.51512,1.2316,0.56415,0.43245,0.42805,0.21171,1.98981,5.74051,2.22372,1.39032e-05,1.39032e-05,1.39032e-05
98,13730.6,0.94659,1.48868,1.22971,0.57057,0.43319,0.4275,0.21112,1.99013,5.76102,2.22466,1.21968e-05,1.21968e-05,1.21968e-05
99,13869.8,0.95898,1.49555,1.23121,0.56672,0.42802,0.42627,0.21153,1.99048,5.76282,2.2245,1.09768e-05,1.09768e-05,1.09768e-05
100,14009,0.94536,1.50216,1.22856,0.56554,0.42872,0.42758,0.21235,1.98967,5.75542,2.22396,1.02443e-05,1.02443e-05,1.02443e-05
