epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,12022.2,0.57821,0.89839,0.35597,0.88362,0,0.88355,0.86612,0.90177,0.7648,0.87854,0.86162,0.89141,0.7126,0.54765,0.87845,0.5004,0.90111,0,0.000123596,0.000123596,0.000123596
41,12351.7,0.5742,0.89284,0.35278,0.88226,0,0.86346,0.88442,0.90352,0.76772,0.86619,0.87518,0.89477,0.71151,0.54447,0.87367,0.49856,0.89527,0,0.000104537,0.000104537,0.000104537
42,12685.8,0.5669,0.88419,0.34809,0.87937,0,0.9058,0.83429,0.89982,0.76803,0.88591,0.84922,0.90002,0.71945,0.53998,0.87998,0.48414,0.89929,0,8.70577e-05,8.70577e-05,8.70577e-05
43,13017.2,0.5664,0.88125,0.34621,0.87934,0,0.87075,0.85042,0.89731,0.76733,0.8711,0.85127,0.89775,0.71316,0.53902,0.87688,0.49403,0.90165,0,7.12282e-05,7.12282e-05,7.12282e-05
44,13339,0.56327,0.88027,0.34436,0.87879,0,0.82964,0.90285,0.90439,0.76896,0.82255,0.89538,0.89392,0.71592,0.53915,0.87912,0.48855,0.89996,0,5.71106e-05,5.71106e-05,5.71106e-05
45,13667,0.55785,0.87092,0.34043,0.87645,0,0.88712,0.85301,0.90157,0.77174,0.8875,0.85387,0.89964,0.71937,0.53104,0.8757,0.49335,0.89462,0,4.47606e-05,4.47606e-05,4.47606e-05
46,13988.2,0.55345,0.86436,0.33763,0.87498,0,0.83143,0.89787,0.89595,0.76717,0.83025,0.8972,0.8971,0.71522,0.53313,0.87884,0.48599,0.89964,0,3.4227e-05,3.4227e-05,3.4227e-05
47,14309.8,0.55288,0.86363,0.33607,0.87359,0,0.88775,0.85155,0.89941,0.76888,0.90344,0.83932,0.898,0.71611,0.53332,0.88283,0.49055,0.89804,0,2.55513e-05,2.55513e-05,2.55513e-05
48,14629.4,0.55347,0.86473,0.33685,0.8744,0,0.82991,0.89857,0.89997,0.7695,0.82935,0.89855,0.89984,0.7163,0.53046,0.88687,0.4847,0.8977,0,1.87678e-05,1.87678e-05,1.87678e-05
49,14917.9,0.55119,0.85999,0.3352,0.87365,0,0.83705,0.88953,0.90104,0.7705,0.83918,0.89007,0.90172,0.71711,0.53131,0.88853,0.48627,0.8978,0,1.39032e-05,1.39032e-05,1.39032e-05
50,15189.4,0.54964,0.86295,0.3352,0.87257,0,0.84089,0.89914,0.90359,0.77301,0.84965,0.889,0.90234,0.71965,0.53147,0.88251,0.48244,0.8987,0,1.09768e-05,1.09768e-05,1.09768e-05
